Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
Brazil,2005,Biomass,74453.15,32847.14,1179275574.25,693373680,102861509524665.77,328761.27,78295.49,5942.33,636911.33,84867,0,1970636982.02,0,38.96,1002.87,206.61,0.66,99.04,26.68,35.16,231.75,0.05,0.35,812010492.16,780628873.67,2.54,0,30.90,86.84,0,500,0.69,1,0,22.03,69.55,80.41,0,6.18,7.36,6.16,3.40,5.12,99.72,83.90,45.31,148,98,8114,419615,15.27,0,1
Australia,2004,Biomass,14325.35,38289.19,8716510274.46,1176989729,12633534394326.96,673921.35,6196.73,65370.62,593383.57,984025,1,6268148860.62,0,7.27,105.42,169.70,5.10,66.38,54.98,16.87,21.88,0.02,0.17,25885931.62,932879285.97,3.40,1,84.43,36.72,0,782,1.93,1,0,68.56,44.11,61.87,1,0.45,2.75,8.02,9.74,7.62,53.56,59.46,49.42,141,42,4207,808937,27.08,1,0
India,2010,Geothermal,89824.61,14143.25,3968483602.55,736849744,26005703217005.90,631178.28,97438.89,77282.78,840553.03,393558,0,4293993090.06,0,11.06,1515.17,244.35,6.66,46.04,8.19,54.89,886.88,0.45,0.19,530139568.69,403348647.21,8.92,0,29.06,90.71,1,544,3.87,1,1,27.37,53.50,40.02,1,8.34,2.43,9.99,2.22,3.11,87.01,22.25,47.23,947,60,464,151323,30.27,0,0
India,2002,Solar,16230.27,45126.17,9691344230.84,540367688,184773712445107.12,864493.50,28755.12,56884.71,126355.05,85638,0,6594194062.10,0,33.80,2181.30,104.71,11.82,70.12,82.28,26.36,659.74,0.61,0.23,760606999.59,869541010.68,4.57,1,32.28,25.30,1,755,2.39,0,0,72.17,39.16,10.37,0,4.75,6.25,2.91,5.24,4.73,97.18,57.30,2.21,41,56,2729,519352,19.48,0,0
Canada,2020,Geothermal,40223.36,41617.16,2698073282.24,773829104,8357935526554.68,751371.07,67488.93,52475.63,9495.88,834498,0,8363588067.68,1,29.92,468.96,145.06,8.95,87.72,80.17,27.22,569.58,0.50,0.10,752013009.66,727165612.04,4.65,0,88.68,73.35,1,862,4.69,1,1,38.98,64.72,77.78,1,6.47,9.17,2.51,5.57,3.86,58.22,94.21,96.42,761,13,6269,508793,43.32,0,1
Japan,2000,Biomass,55181.16,3652.61,9146475538.48,451450489,137035473324818.02,800572.30,96789.19,77850.38,512343.68,622523,1,9906080079.18,1,15.39,1636.29,227.24,3.23,5.22,39.81,82.25,844.59,0.33,0.50,754300690.41,722871858.25,6.21,1,89.37,23.52,0,752,7.48,1,0,34.67,31.80,92.13,0,6.84,3.41,0.48,8.51,8.46,70.17,2.67,84.66,365,83,7498,717788,18.35,0,0
Germany,2020,Biomass,18351.91,4139.68,1828323347.13,469638161,52720928220458.78,405547.44,28666.12,44589.49,220608.88,126266,1,6084069016.78,0,30.32,177.79,253.30,14.30,75.42,77.73,75.58,497.20,0.87,0.42,376687216.27,406792163.02,9.92,0,27.38,75.38,1,509,8.18,0,0,30.81,29.03,64.43,1,8.16,4.17,9.26,8.47,4.93,11.29,48.92,68.59,647,72,4418,973291,53.77,1,1
Australia,2011,Wind,69389.98,44843.46,1665280086.68,1454009404,155703034635011.50,510998.30,2106.60,44953.09,741601.90,896222,1,190271347.36,0,18.39,1014.28,145.83,6.00,7.18,97.81,17.25,566.13,0.32,0.23,942739191.69,471776575.68,3.56,0,84.29,28.05,0,395,3.18,0,1,18.91,75.23,84.71,1,0.53,6.17,4.76,2.17,5.82,52.96,19.62,93.64,173,86,337,329055,19.67,0,1
Canada,2001,Geothermal,17309.16,4438.38,4614220683.77,704520954,191644462216537.19,487211.90,45449.46,20030.62,505760.57,790706,1,5665011474.59,0,-7.94,2693.34,287.60,8.47,85.32,3.03,19.28,283.31,0.23,0.15,463441101.99,146316078.55,5.74,1,69.48,89.36,1,544,2.86,1,0,77.15,14.31,62.40,1,4.91,4.47,9.10,3.34,7.64,19.51,15.76,5.61,648,8,5890,105596,8.88,0,0
India,2000,Solar,3313.07,9453.07,6121759596.68,951990489,104947784013100.30,854444.31,76146.40,46990.05,212159.05,9517,0,3464875529.84,1,33.50,1617.92,243.45,14.62,79.59,24.28,93.84,660.81,0.56,0.49,845166201.43,997046034.42,8.99,1,87.28,54.25,1,244,0.77,1,1,55.79,72.28,36.63,0,4.37,5.65,8.90,6.94,7.46,64.30,31.23,64.67,280,96,7108,161437,60.50,1,0
Australia,2011,Solar,8250.40,36886.65,9153566535.69,419447434,15748251075508.20,92252.86,34779.43,4100.62,375328.51,817423,0,1212130586.46,0,7.10,1394.60,214.87,14.92,85.57,18.54,29.10,927.23,0.63,0.11,798132713.52,274684553.88,5.36,0,46.98,79.35,0,21,8.54,0,0,60.45,80.00,86.47,1,4.93,6.94,6.94,7.32,8.70,18.90,29.57,90.21,144,35,5134,953194,0.56,0,1
France,2017,Solar,96388.89,47257.53,8196587973.67,621259029,52179829349129.98,245549.73,30871.05,80704.08,436502.68,366194,0,4192961144.29,1,10.31,492.14,115.55,0.06,68.50,87.88,49.74,598.71,0.21,0.34,234412272.32,109053562.26,3.54,0,49.15,65.24,0,271,3.46,1,1,30.19,1.12,54.36,1,2.98,5.80,0.85,7.05,6.26,2.41,4.77,76.08,772,12,5781,144000,98.30,1,0
Germany,2011,Hydro,19270.19,47925.06,2762927845.79,967072336,27627518317418.09,778139.81,8196.91,46453.10,613351.06,168430,1,7970077692.19,0,9.83,362.03,227.36,5.92,58.68,58.86,23.02,121.72,0.38,0.19,270233745.87,888768500.29,3.88,0,20.92,50.11,0,959,6.90,0,1,80.11,97.20,23.83,1,5.32,8.46,3.42,5.78,4.60,93.54,98.72,16.75,106,53,9733,199631,88.63,0,1
Japan,2010,Wind,8549.92,14058.32,7584104576.96,510541312,45708378439608.64,935143.37,84314.40,15305.13,879450.37,122224,0,1854350529.18,0,-3.09,2046.94,126.85,11.22,53.11,14.56,73.49,207.93,0.08,0.29,400771167.54,118593008.24,4.92,0,48.31,82.57,0,940,0.44,1,1,61.51,71.17,93.07,1,1.42,9.09,4.40,5.23,0.32,81.13,51.56,90.00,10,5,2772,52434,17.28,0,0
Japan,2005,Wind,12700.24,11647.99,7678557442.48,51060694,118625033834358.50,857796.53,7677.15,26711.70,454502.77,723968,1,9190826695.30,1,35.14,1696.02,292.64,14.15,52.23,88.20,94.01,165.41,0.93,0.16,70853751.23,680169216.35,0.25,1,18.07,11.60,1,791,2.30,0,0,91.87,96.98,98.25,1,3.69,6.97,1.21,6.92,7.93,29.37,93.09,28.41,972,36,735,589678,47.18,0,0
India,2021,Biomass,56343.29,32215.44,6686652424.56,299503518,89373212918393.83,659723.27,85508.44,14011.62,468373.19,657601,1,403493783.33,1,18.30,2122.73,174.07,11.44,36.11,44.13,4.41,505.32,0.08,0.47,286736756.32,924638534.60,7.49,0,22.62,96.52,0,442,2.98,0,0,21.06,2.45,59.15,0,3.33,9.08,8.63,0.64,9.45,84.63,44.08,26.13,444,36,3548,844481,60.47,1,0
Australia,2016,Geothermal,6755.56,29688.15,3273011504.77,73559068,171015026522142.06,422222.01,84096.60,52358.39,491653.14,978162,0,9537139492.41,1,31.91,1500.37,243.30,11.24,63.36,69.15,51.78,363.06,0.59,0.10,604853962.95,642991981.52,4.63,0,99.77,64.31,0,710,5.63,0,1,65.89,80.51,71.74,1,2.80,7.93,2.50,4.79,9.96,15.85,62.98,73.21,158,82,9539,570258,4.31,0,1
India,2019,Wind,89055.62,5150.78,8612604622.90,403314129,76167180560109.11,950735.70,41744.59,50439.34,57995.23,326279,1,3114037029.39,0,-6.96,1724.21,269.29,3.00,10.22,19.33,39.58,477.30,0.94,0.36,386484504.50,70064339.76,1.93,1,15.81,80.93,1,12,3.11,0,0,46.95,94.93,53.90,0,9.74,3.58,3.20,3.16,2.43,90.81,19.07,78.95,67,85,6019,282038,34.41,1,0
India,2007,Solar,73121.16,45473.66,451774158.43,643726278,61542165257584.05,92830.05,84264.28,52293.76,368474.37,198570,1,2943717081.96,0,33.17,1897.41,260.51,7.38,63.39,91.80,44.22,154.04,0.36,0.32,418757103.11,91383973.89,4.35,1,71.96,7.86,0,162,9.92,1,0,57.37,10.68,9.70,1,4.68,9.24,4.59,7.30,3.27,46.51,82.07,83.13,692,77,1481,82962,45.81,0,1
China,2012,Biomass,46855.83,4000.68,2956097869.66,1433780278,22979816059092.65,882503.11,58443.34,65044.49,535287.58,773971,1,5607085764.29,1,33.59,747.01,170.35,7.97,27.45,35.09,69.99,779.21,0.29,0.41,986048775.18,579229565.64,9.72,0,99.32,50.42,1,498,3.66,1,0,27.00,22.64,28.47,0,3.17,7.32,7.76,9.31,5.13,69.72,91.77,79.16,69,56,3793,933893,73.23,1,0
India,2006,Hydro,69037.09,7466.14,6580605577.04,218472130,32972502925902.27,566956.23,46000.73,55563.50,397974.08,361313,0,8424276249.85,1,4.12,1158.15,134.55,0.18,42.13,38.41,41.68,565.37,0.93,0.35,683241159.60,398327914.90,1.53,0,63.66,23.26,0,446,0.34,0,0,34.46,32.49,62.65,1,7.47,5.64,3.40,2.18,4.37,21.54,65.47,51.73,972,41,3180,927358,74.91,1,0
Australia,2020,Biomass,40442.64,40010.09,850468873.99,567741878,183981538755660.91,857949.14,49763.28,54952.16,908886.66,367533,1,6158090339.08,1,10.03,415.26,122.62,3.34,52.83,96.57,92.37,135.29,0.90,0.39,831087852.51,951496217.61,5.61,0,14.06,14.41,1,85,2.74,1,0,67.22,30.48,60.85,1,3.98,0.20,2.95,8.30,2.01,97.40,44.43,64.02,706,70,8049,581791,83.43,0,0
Russia,2022,Geothermal,10317.56,26433.08,9958981503.43,503592495,4466527999474.37,653948.25,35199.14,31008.53,115204.70,542511,1,2904342346.63,0,7.15,2019.78,109.00,11.08,5.27,71.91,39.86,981.46,0.83,0.35,934887441.79,45110997.29,1.40,0,51.05,55.94,1,931,0.48,1,0,4.94,50.57,38.19,0,5.70,0.25,8.64,6.33,2.20,31.26,45.20,75.06,118,44,2914,228896,46.69,1,0
Japan,2017,Solar,9976.79,45448.52,9210881273.07,1344742693,2429212065586.86,841715.64,13303.42,88833.74,447357.02,668377,1,1411772792.90,0,39.46,1703.92,247.65,10.63,93.97,65.77,51.65,579.29,0.02,0.23,530774244.90,345878255.71,1.97,0,49.60,54.81,1,861,5.86,0,1,26.03,6.33,90.22,0,1.09,4.48,9.03,8.36,5.61,66.34,59.89,65.85,377,11,1654,34999,49.37,0,0
Australia,2010,Biomass,95524.34,253.69,7898424967.35,736682081,107452430136001.69,68187.67,98417.68,44214.65,649566.59,161310,1,4248714851.70,1,11.57,1628.98,273.99,10.21,84.26,73.46,4.16,446.63,0.61,0.28,161580216.43,778300039.51,9.62,1,41.79,51.64,1,556,6.60,0,1,35.93,50.83,34.73,0,5.98,6.61,2.38,5.05,0.49,45.53,54.11,30.70,242,15,8003,374938,55.01,1,0
France,2010,Solar,16851.86,29291.14,8892920158.74,870291967,12040424023504.43,689533.13,16438.60,71494.34,988480.40,335510,1,3229022195.08,1,16.24,1150.76,214.11,8.85,62.08,7.04,25.24,966.54,0.96,0.06,41128482.48,386155498.03,2.67,1,79.61,19.58,0,886,0.87,0,0,9.68,10.53,60.59,0,6.78,6.87,4.66,9.20,0.16,30.84,92.98,84.08,599,75,9931,760193,83.31,0,0
Russia,2019,Biomass,10923.62,49496.97,8387186069.75,420686959,192189135098992.00,469156.12,10782.84,67865.83,277140.65,423986,1,9618379268.30,0,37.63,2472.95,140.08,5.04,72.96,50.55,19.31,363.91,0.96,0.26,66466548.32,829585678.00,3.49,0,22.21,53.04,1,75,3.35,1,0,78.52,68.56,84.10,1,7.84,7.13,7.70,5.25,6.80,92.59,90.01,29.19,260,94,428,633542,89.86,0,0
Canada,2001,Hydro,55890.88,519.03,1490352993.03,664765454,8362587825725.58,68134.60,95688.74,78651.48,618466.94,512954,1,8038906054.42,0,19.97,650.52,145.77,11.43,56.28,8.41,98.08,953.01,0.85,0.17,294635733.53,704052404.03,0.89,1,32.66,77.65,0,613,6.66,0,0,57.53,96.72,68.21,1,6.83,9.48,9.84,7.16,1.62,14.88,96.02,18.38,160,41,2994,39303,26.98,1,0
USA,2003,Geothermal,28751.24,3562.53,3210305576.43,363568975,137701063311793.08,48376.85,10144.65,67319.53,572095.90,394271,1,8561115358.07,0,3.00,2709.26,288.10,0.55,50.01,74.50,34.33,40.39,0.23,0.08,975276584.53,679272408.94,4.16,1,43.36,37.86,0,54,4.83,1,0,33.79,64.90,76.22,1,8.56,2.05,0.47,3.83,9.13,66.80,76.28,10.09,61,0,9240,363345,97.61,0,0
India,2020,Wind,6469.01,49938.84,6420726076.27,306409806,78803839220760.31,836419.76,64157.81,46544.97,425968.18,44555,0,7415289779.76,0,25.14,2229.38,152.33,1.98,46.91,99.22,58.52,256.92,0.59,0.38,224116566.65,830764677.31,2.69,0,87.68,36.12,1,941,4.83,0,1,26.07,2.38,7.87,0,4.73,0.80,5.00,3.40,7.96,88.55,83.81,87.53,445,66,978,31357,16.11,1,0
Canada,2000,Wind,48338.85,15452.69,9998292119.07,1396730113,124259987859692.00,302867.89,40167.18,86092.61,709200.05,669198,1,5304171035.12,0,30.67,198.82,141.86,1.79,29.84,52.60,30.60,398.42,0.70,0.26,816037152.10,659219399.28,8.44,1,86.99,4.91,1,219,1.98,1,0,17.80,87.88,93.67,1,8.70,6.18,7.72,7.83,3.86,9.05,45.05,21.78,947,29,9208,188499,95.27,1,0
Japan,2009,Wind,86718.75,43581.98,5227814881.10,1255724328,13076152984355.38,605051.25,31209.91,39706.16,288916.00,147244,0,879483065.36,0,36.16,1415.49,164.04,9.20,96.58,37.23,18.14,182.05,0.57,0.42,107016212.23,631837293.62,4.19,0,53.99,87.41,0,314,0.49,0,1,46.25,27.86,83.21,0,5.36,9.31,9.25,5.19,1.94,86.90,19.90,50.94,805,2,6803,400026,8.24,1,1
France,2013,Hydro,64477.11,25920.13,8207232332.53,552284025,108520203026887.12,84267.25,98275.21,57496.48,991831.62,751019,0,8783523152.08,1,10.58,1715.40,166.55,11.75,84.99,34.76,25.59,120.24,0.71,0.38,65802443.94,148306782.51,5.94,0,27.85,88.17,0,529,6.99,1,1,30.86,97.05,53.39,1,0.98,6.16,6.69,0.64,9.04,82.52,37.15,88.71,152,91,2319,687981,60.89,1,1
Germany,2005,Solar,51297.62,30232.01,4538928047.66,823980944,4750522344761.86,222598.22,39769.03,67497.86,897353.93,142568,0,8302984369.44,0,7.17,1289.14,156.73,13.15,87.98,43.43,77.20,673.76,0.32,0.16,958969836.73,145747727.17,7.03,1,21.06,40.88,1,302,4.57,1,1,78.57,74.87,50.43,0,9.71,0.33,0.54,9.71,3.43,46.10,48.67,94.15,917,13,5381,522032,29.20,1,0
USA,2014,Wind,27825.86,33848.61,4635353857.63,889993261,112535803376678.34,427412.32,44633.37,40213.09,34624.11,99386,0,6121349238.38,0,-7.89,2919.04,119.90,1.81,71.82,80.83,61.80,428.13,0.49,0.29,409976256.37,480380139.89,1.07,1,65.14,1.18,1,699,8.32,1,1,27.63,98.65,12.47,1,2.89,0.23,6.09,6.31,8.68,77.70,46.40,32.81,892,5,1011,183761,8.53,0,0
Australia,2006,Solar,95372.52,38589.72,9568547682.02,133061037,63148537602245.17,12543.73,48835.21,44892.59,625698.66,238777,0,6166063886.50,0,-3.30,1318.79,190.83,4.41,39.69,6.18,20.14,85.55,0.27,0.28,168293131.16,896827425.05,5.21,1,53.59,56.03,0,483,0.32,1,1,61.80,60.81,52.64,0,9.09,6.25,5.07,3.30,2.55,90.82,28.99,81.36,291,53,5765,688248,10.99,1,1
France,2017,Wind,50268.63,31047.00,1769182140.06,245877778,51842091609070.57,120157.86,55230.52,15950.99,807875.18,834687,1,1590761506.10,0,19.26,2255.47,137.37,13.91,28.09,99.20,75.81,471.54,0.28,0.14,274584040.99,189074529.50,3.90,1,55.04,28.09,0,573,6.27,1,1,49.82,39.78,21.40,1,5.95,2.21,2.39,0.36,3.47,61.05,87.19,54.23,933,20,4683,943782,14.36,0,0
China,2001,Hydro,24466.39,30406.31,6102085567.82,1430794728,48342958617004.86,962399.34,55795.54,3315.00,32901.68,541735,1,6994361876.34,1,9.15,2827.01,200.41,2.15,34.62,15.40,8.34,514.59,0.87,0.26,148534284.57,142543946.80,1.04,0,26.98,62.95,0,671,9.39,1,0,56.98,67.36,0.45,1,2.33,9.09,2.12,3.69,7.41,57.57,42.30,30.89,46,39,9283,54436,18.20,0,0
Australia,2001,Solar,37882.71,29915.06,3175216832.26,22780099,43853494557795.28,399182.96,39777.21,61447.22,790665.04,275382,0,4178417678.70,0,-6.22,938.58,228.21,8.85,64.40,31.49,43.78,964.26,0.71,0.44,789735245.32,59788828.76,7.03,0,3.02,53.96,0,574,5.73,1,0,63.99,74.00,15.07,0,3.44,9.93,8.00,0.51,3.49,43.39,66.84,55.97,954,97,4356,966478,63.10,1,1
Russia,2018,Biomass,25230.16,31674.64,9355827019.23,838000528,16886795290137.19,879478.82,64021.33,83866.03,415125.60,115386,0,6719589145.11,0,14.07,2709.37,119.18,6.68,30.80,37.47,16.97,2.67,0.49,0.49,455703090.10,416070990.59,7.41,0,52.22,23.83,0,736,6.29,1,0,51.83,4.37,26.55,1,9.33,5.08,0.28,9.17,1.71,77.16,95.54,19.79,800,56,4963,725551,8.22,0,1
France,2004,Geothermal,23995.25,15831.36,8815578142.90,501310787,128897230755282.12,70332.10,40785.38,22107.62,55625.88,311121,1,2841439709.52,1,19.06,1020.97,215.49,2.18,62.00,21.57,44.26,930.12,0.78,0.06,531883477.77,729850196.25,3.00,1,87.70,10.40,1,417,3.71,1,1,88.03,71.32,72.42,0,7.67,2.20,8.71,2.49,1.19,42.02,66.27,40.03,929,81,3471,151357,65.25,0,0
Brazil,2018,Wind,29374.43,25633.35,2905409782.39,896220202,196872794944130.25,924878.13,27056.56,90450.73,297600.59,314880,0,7038085162.68,0,27.06,1777.25,248.76,14.05,49.95,66.28,97.42,26.62,0.82,0.24,961964889.36,827077324.09,4.90,0,74.39,11.15,0,206,8.00,1,1,95.35,53.54,63.93,1,0.73,1.90,3.20,7.71,1.95,34.63,29.84,87.36,18,38,7525,12744,63.09,0,1
France,2013,Biomass,45621.53,14941.85,2902262098.71,640430922,155307390037563.31,853893.52,58375.31,31796.81,576336.79,106628,1,2504887866.55,0,8.37,1312.88,109.67,7.56,56.70,85.85,32.80,142.51,0.88,0.12,96529101.33,140708049.24,2.03,0,97.08,86.97,0,119,2.49,1,1,36.90,82.64,26.38,1,6.10,2.85,5.68,8.84,10.00,43.95,27.77,57.99,618,39,8644,552803,10.80,1,0
Brazil,2012,Wind,13751.25,27874.62,2901030007.89,737154605,68881117503413.60,530528.75,21813.22,89088.52,299589.95,63862,0,162082160.92,0,-6.42,2018.35,191.34,13.10,15.38,75.97,72.83,934.84,0.27,0.09,414358403.72,212019897.81,7.80,1,53.63,92.49,0,263,4.54,1,0,94.00,76.04,61.58,1,0.65,6.10,6.23,5.90,3.05,48.88,12.90,70.24,921,65,4138,906951,56.12,1,0
Japan,2004,Solar,94893.72,40696.34,8921081807.80,984355935,43886311573286.41,846959.47,41473.50,61669.93,946930.52,738749,0,7486055078.94,0,8.65,1014.79,232.45,12.90,98.41,57.35,13.09,845.22,0.80,0.14,532274323.21,642616324.71,4.89,0,91.57,11.55,1,134,4.85,1,1,99.56,31.45,14.44,1,2.55,3.65,4.97,5.01,7.13,20.12,83.37,79.29,345,59,1543,765448,57.57,1,1
China,2007,Hydro,58676.62,24284.96,7627623533.90,1194123774,122948767621156.31,111541.76,99952.51,28552.50,415654.89,889762,1,5600758966.15,0,8.10,928.00,103.95,5.50,33.52,13.05,93.17,473.69,0.07,0.18,109241373.05,564948341.49,6.89,1,55.25,7.61,0,818,0.93,1,1,3.58,24.28,31.55,1,4.19,9.58,3.87,4.50,3.23,39.21,23.24,31.35,8,86,4593,658295,2.25,0,1
Russia,2015,Geothermal,90369.13,12270.52,1039499233.00,722522776,163173890848025.69,277293.41,83894.19,45843.85,97660.84,56561,1,545947539.47,0,26.55,201.10,195.95,11.36,99.61,93.11,24.25,502.62,0.96,0.49,574574335.09,296336870.94,5.59,1,55.98,85.87,1,952,0.69,1,1,2.04,13.23,94.99,1,0.85,9.19,8.36,0.39,4.71,22.15,13.80,75.58,486,75,977,2217,72.23,1,0
France,2012,Wind,25452.49,26538.11,5596773216.95,370550738,71778981243397.61,329847.09,98685.21,68291.71,888586.77,393566,1,1173604742.60,0,37.57,1816.41,109.48,0.12,63.56,7.21,29.17,606.82,0.77,0.35,877978672.36,259609243.96,2.59,1,0.07,96.07,0,924,8.64,1,0,39.03,39.33,97.54,0,2.76,9.83,5.04,1.66,8.76,3.99,1.54,57.40,411,44,3006,869996,7.72,1,1
Brazil,2021,Biomass,4433.28,1446.29,1212656772.15,226974812,9483817303670.70,741093.89,38687.48,92731.25,732723.17,823886,1,8421371647.33,1,26.25,829.91,246.52,9.45,35.82,63.24,74.60,104.07,0.41,0.42,637751586.00,334380476.42,2.42,0,32.74,31.29,0,952,6.88,1,0,14.92,63.25,61.54,1,1.69,6.86,3.77,9.82,7.72,61.29,0.96,53.93,155,32,2114,791413,50.73,1,0
Brazil,2005,Wind,96698.76,2452.55,1157330076.21,33747293,26621375047166.52,836828.27,62803.02,24253.12,955670.88,652201,0,5688052363.23,0,24.01,1824.75,235.62,5.04,78.09,99.59,56.63,805.44,0.50,0.43,523789752.53,947646734.30,2.66,0,5.02,88.09,0,678,4.87,1,1,13.20,8.77,14.54,1,3.49,3.38,7.51,1.04,2.51,90.88,41.65,82.41,300,32,3912,795097,31.03,1,1
France,2021,Wind,92544.93,40990.94,8762458349.84,64765463,15853282720401.20,73010.20,84622.26,3788.98,648657.41,641727,1,2491917380.50,1,20.33,681.00,160.52,8.07,39.13,12.11,41.93,278.90,0.43,0.48,685802339.36,924510086.35,2.35,0,82.86,41.47,0,722,9.79,1,0,82.35,30.01,65.25,1,7.83,2.91,4.06,5.14,0.21,40.94,54.34,20.57,59,39,8946,362168,85.50,1,1
Australia,2009,Geothermal,49594.25,26117.13,1106594120.13,1276439293,172020636250828.44,287788.57,26985.79,11429.35,134180.37,885484,1,982471492.41,1,8.07,2698.75,156.20,13.58,30.06,18.64,34.07,917.56,0.98,0.34,278747306.36,704480877.69,4.96,1,11.46,37.15,1,533,4.65,0,1,78.69,78.49,46.71,0,9.88,9.87,1.11,5.33,7.10,57.53,33.36,79.89,633,87,5128,686620,15.38,0,1
France,2000,Hydro,96020.06,15753.90,8220034097.91,681771061,139767814401582.84,371029.19,4597.61,83124.13,518920.33,247224,0,1587265062.56,1,37.22,1518.52,266.43,8.70,67.47,89.45,53.59,878.08,0.75,0.30,111556565.93,921195199.63,8.58,1,79.98,30.76,1,305,4.70,1,0,48.53,65.53,52.50,1,3.81,6.49,2.51,4.15,9.40,95.95,61.77,19.66,892,39,5792,830612,1.44,1,1
Germany,2003,Biomass,5285.86,24022.22,8594036529.20,981307307,164539604871287.19,462692.05,77304.29,39418.51,290952.07,166565,1,1491390168.70,1,-4.52,2269.81,243.69,14.98,40.45,76.76,6.49,607.80,0.09,0.31,364150771.62,805382972.14,6.81,1,56.38,43.05,0,744,9.98,1,1,3.85,58.53,26.57,0,0.57,3.63,0.41,3.48,7.55,16.21,0.10,76.50,701,5,8174,205123,36.61,1,1
Canada,2016,Solar,56527.86,31316.76,4061773376.77,739294301,79276792905373.94,12066.49,90959.44,54775.98,52289.34,35593,1,4251093648.36,0,22.76,1388.99,121.50,4.00,47.36,80.85,14.40,858.06,0.35,0.24,119176367.50,256152651.95,6.21,0,18.95,68.67,1,556,6.05,1,1,55.91,72.44,63.79,0,3.59,6.64,1.48,6.66,1.97,75.74,29.81,94.13,601,39,5747,988304,27.48,0,0
Canada,2001,Hydro,30365.30,32830.33,7606809381.17,1294614305,195890550822980.47,244809.93,69683.81,53530.45,878992.77,319632,1,8439321080.98,1,0.87,1617.63,246.87,1.63,74.70,93.87,91.17,925.38,0.99,0.33,754669459.46,827528541.83,0.64,0,94.35,78.26,0,264,1.38,1,1,71.73,11.12,24.52,1,5.81,5.20,1.44,2.77,1.26,73.10,87.99,96.22,953,42,4272,903679,23.21,0,1
India,2019,Biomass,58207.42,41013.90,7769394319.50,512940873,128565786281797.48,659966.22,57998.28,16772.14,382881.91,851809,1,5854709225.33,0,-3.35,2762.69,266.02,3.83,88.64,61.95,69.17,930.24,0.12,0.06,745338535.30,989530978.30,7.65,0,49.86,29.41,0,531,1.75,1,1,35.75,89.62,81.62,0,7.29,3.35,5.16,9.70,9.81,36.58,12.82,42.04,684,62,5425,862595,72.62,1,0
France,2002,Wind,21157.25,40081.29,6078953901.29,392602584,152790547427654.66,798724.36,66403.41,10877.71,46745.98,202941,1,6203639643.45,1,6.76,1264.17,124.01,9.78,14.40,35.49,3.01,475.12,0.29,0.17,490005835.15,272611886.24,6.35,0,90.32,77.20,0,899,8.48,0,0,83.25,73.29,96.54,0,2.47,5.23,1.10,8.08,9.26,52.31,94.59,73.86,38,39,7673,23633,14.56,0,1
Japan,2012,Geothermal,81666.61,3153.23,3000660025.96,562642017,175537966716827.59,672754.84,65098.24,89259.48,661283.67,247679,0,6322935207.91,1,33.70,2757.36,255.77,14.75,13.66,94.89,40.68,976.26,0.67,0.29,311202739.82,397872502.19,1.03,1,20.44,96.74,0,764,3.51,1,1,92.19,28.70,14.65,0,8.63,9.54,7.29,4.23,8.69,61.77,85.52,10.63,147,54,2398,373904,8.57,0,0
China,2003,Geothermal,97682.16,34344.54,8640349922.01,326380748,199269976563500.75,506882.32,35469.92,95052.94,207870.12,889772,0,3305066779.96,0,0.43,189.42,100.08,12.88,11.75,10.34,32.62,168.16,0.44,0.13,245765854.59,152170412.00,0.65,0,50.73,74.28,0,564,3.26,0,0,75.56,98.45,22.95,1,6.79,4.23,6.23,3.42,4.63,12.40,10.58,57.52,705,29,3051,974051,15.54,0,1
India,2009,Wind,78495.37,4709.58,9487138918.82,1447795780,184430294824389.19,12767.19,29954.94,56708.60,996777.58,308133,1,5742548103.30,1,26.93,1030.55,212.22,5.10,92.38,43.01,73.92,125.56,0.17,0.32,404901597.77,117188046.33,4.81,0,19.46,81.13,1,168,9.30,0,0,30.86,80.84,99.22,1,0.18,9.55,5.38,6.88,1.71,45.38,37.43,78.10,125,64,3884,649077,4.29,1,1
USA,2013,Wind,44238.68,49930.70,3322107830.38,375899511,191480148592811.72,223254.67,14634.33,14608.49,842319.61,398245,0,4785513592.46,0,22.27,1340.09,195.39,5.06,97.87,25.35,30.62,333.71,0.10,0.20,975325016.90,267967538.72,7.05,1,10.39,35.74,0,612,2.36,1,1,97.72,55.29,39.99,0,3.48,5.26,5.39,5.87,9.62,77.22,72.28,28.16,304,38,304,191556,84.87,1,0
